lead_id,created_date,branch,channel,country_interested,service_type,counselor,budget_range,follow_up_count,status,last_update_date,cycle_days
LD00001,2025-02-21,Uttara,Website Form,USA,Study Abroad Consultation,Priya,20+ Lakh,3,Lost,2025-03-04,11
LD00002,2026-06-18,Kalabagan,Referral,UK,Visa Processing,Nusrat,10-20 Lakh,4,Visa Approved,2026-07-31,100
LD00003,2025-07-31,Kalabagan,Google Ads,Canada,Study Abroad Consultation,Arafat,<5 Lakh,3,Consultation Done,2025-08-01,1
LD00004,2025-06-29,Kalabagan,Walk-in,UK,Study Abroad Consultation,Priya,10-20 Lakh,5,Enrolled,2025-07-14,15
LD00005,2025-02-15,Dhanmondi,Referral,Australia,Study Abroad Consultation,Priya,<5 Lakh,2,New,2025-03-03,16
LD00006,2025-02-03,Dhanmondi,Website Form,Australia,Study Abroad Consultation,Tanvir,<5 Lakh,0,Enrolled,2025-06-07,124
LD00007,2026-06-03,Kalabagan,Walk-in,Canada,Study Abroad Consultation,Mim,5-10 Lakh,2,Enrolled,2026-07-31,60
LD00008,2026-07-09,Sylhet,Website Form,USA,Study Abroad Consultation,Priya,<5 Lakh,3,Lost,2026-07-26,17
LD00009,2025-10-11,Uttara,Referral,Australia,IELTS Preparation,Priya,<5 Lakh,1,Application Submitted,2026-01-23,104
LD00010,2025-03-25,Sylhet,Referral,Canada,IELTS Preparation,Tanvir,20+ Lakh,2,Application Submitted,2025-04-12,18
LD00011,2026-04-11,Kalabagan,Referral,Canada,Study Abroad Consultation,Nusrat,10-20 Lakh,3,Lost,2026-04-19,8
LD00012,2025-06-11,Kalabagan,Seminar/Event,UK,Study Abroad Consultation,Rafi,5-10 Lakh,5,Consultation Done,2025-06-22,11
LD00013,2026-07-13,Chattogram,Walk-in,Germany,Visa Processing,Arafat,5-10 Lakh,4,New,2026-07-13,0
LD00014,2026-06-24,Kalabagan,Facebook Ads,Australia,Visa Processing,Rafi,5-10 Lakh,4,Lost,2026-07-06,12
LD00015,2025-06-20,Dhanmondi,Referral,UK,Visa Processing,Mim,10-20 Lakh,2,Contacted,2025-07-09,19
LD00016,2025-06-23,Kalabagan ,Seminar/Event,UK,IELTS Preparation,Nusrat,<5 Lakh,3,Consultation Done,2025-07-05,12
LD00017,2026-01-18,Chattogram,Website Form,UK,Study Abroad Consultation,Rafi,10-20 Lakh,4,Consultation Done,2026-01-23,5
LD00018,2025-09-19,Chattogram,Facebook Ads,UK,IELTS Preparation,Tanvir,10-20 Lakh,1,New,2025-09-21,2
LD00019,2025-11-08,Kalabagan,Facebook Ads,UK,IELTS Preparation,Rafi,10-20 Lakh,4,Enrolled,2026-01-28,81
LD00020,2025-04-15,Uttara,Facebook Ads,Canada,Study Abroad Consultation,Arafat,10-20 Lakh,1,Consultation Done,2025-04-17,2
LD00021,2025-11-30,Dhanmondi,Website Form,UK,Study Abroad Consultation,Priya,5-10 Lakh,4,Enrolled,2026-02-11,73
LD00022,2025-10-03,Uttara,Google Ads,Canada,IELTS Preparation,Nusrat,20+ Lakh,5,Contacted,2025-10-08,5
LD00023,2025-01-21,Dhanmondi,Website Form,UK,IELTS Preparation,Nusrat,<5 Lakh,3,Consultation Done,2025-01-29,8
LD00024,2025-12-08,Kalabagan,Referral,UK,IELTS Preparation,Nusrat,5-10 Lakh,5,Lost,2025-12-19,11
LD00025,2026-02-20,Dhanmondi,Google Ads,USA,IELTS Preparation,Rafi,5-10 Lakh,4,Visa Approved,2026-03-18,26
LD00026,2026-06-24,Dhanmondi ,Seminar/Event,USA,Study Abroad Consultation,Rafi,20+ Lakh,4,Enrolled,2026-07-31,65
LD00027,2025-02-25,Chattogram,Facebook Ads,Canada,Study Abroad Consultation,Mim,5-10 Lakh,5,New,2025-03-10,13
LD00028,2026-07-30,Chattogram,Facebook Ads,UK,Study Abroad Consultation,Priya,<5 Lakh,2,Enrolled,2026-07-31,119
LD00029,2026-07-09,Chattogram,Facebook Ads,Germany,Language Course,Nusrat,10-20 Lakh,2,Lost,2026-07-16,7
LD00030,2025-03-13,Chattogram,Facebook Ads,USA,Study Abroad Consultation,Rafi,10-20 Lakh,2,New,2025-03-18,5
LD00031,2025-08-02,Kalabagan,Seminar/Event,Canada,IELTS Preparation,Rafi,10-20 Lakh,3,Lost,2025-09-03,32
LD00032,2026-02-08,Uttara,Google Ads,Canada,Study Abroad Consultation,Arafat,5-10 Lakh,4,Lost,2026-02-16,8
